unit,unit_type,sqft,status,tenant,in_place_rent,market_rent,lease_start,lease_end,move_in
101,1BR,720,Occupied,Tenant A,1875,1975,2024-06-01,2025-05-31,2024-06-01
102,1BR,720,Occupied,Tenant B,1825,1975,2024-03-15,2025-03-14,2023-03-15
103,1BR,720,Vacant,,,1975,,,
104,1BR,720,Occupied,Tenant C,1900,1975,2024-09-01,2025-08-31,2024-09-01
105,2BR,1050,Occupied,Tenant D,2450,2600,2023-11-01,2024-10-31,2022-11-01
106,2BR,1050,Notice,Tenant E,2375,2600,2023-08-01,2024-07-31,2022-08-01
107,2BR,1050,Occupied,Tenant F,2550,2600,2024-08-15,2025-08-14,2024-08-15
108,2BR,1050,Occupied,Tenant G,2425,2600,2024-01-01,2024-12-31,2023-01-01
201,1BR,720,Occupied,Tenant H,1925,1975,2024-10-01,2025-09-30,2024-10-01
202,1BR,720,Occupied,Tenant I,1850,1975,2024-02-01,2025-01-31,2023-02-01
203,1BR,720,Occupied,Tenant J,1875,1975,2024-04-01,2025-03-31,2023-04-01
204,1BR,720,Occupied,Tenant K,1950,1975,2024-11-01,2025-10-31,2024-11-01
205,2BR,1050,Occupied,Tenant L,2500,2600,2024-05-01,2025-04-30,2024-05-01
206,2BR,1050,Vacant,,,2600,,,
207,2BR,1050,Occupied,Tenant M,2575,2600,2024-12-01,2025-11-30,2024-12-01
208,2BR,1050,Occupied,Tenant N,2450,2600,2024-03-01,2025-02-28,2023-03-01
301,1BR,720,Occupied,Tenant O,1900,1975,2024-07-01,2025-06-30,2024-07-01
302,1BR,720,Occupied,Tenant P,1875,1975,2024-08-01,2025-07-31,2024-08-01
303,1BR,720,Occupied,Tenant Q,1825,1975,2023-12-01,2024-11-30,2022-12-01
304,1BR,720,Occupied,Tenant R,1950,1975,2024-09-15,2025-09-14,2024-09-15
305,2BR,1050,Occupied,Tenant S,2475,2600,2024-06-01,2025-05-31,2023-06-01
306,2BR,1050,Occupied,Tenant T,2525,2600,2024-10-01,2025-09-30,2024-10-01
307,2BR,1050,Occupied,Tenant U,2600,2600,2025-01-01,2025-12-31,2025-01-01
308,2BR,1050,Occupied,Tenant V,2450,2600,2024-04-15,2025-04-14,2023-04-15
