line_item,category,Apr25,May25,Jun25,Jul25,Aug25,Sep25,Oct25,Nov25,Dec25,Jan26,Feb26,Mar26,T12
Gross Potential Rent,Revenue,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,55200,662400
Vacancy Loss,Revenue,-4140,-3675,-4140,-3675,-3675,-4140,-3675,-3675,-4140,-3675,-3675,-4140,-46275
Loss to Lease,Revenue,-2208,-2208,-2208,-2208,-2208,-2208,-2208,-2208,-2208,-2208,-2208,-2208,-26496
Concessions,Revenue,-1100,-550,-825,-1100,-550,-275,-825,-550,-1100,-550,-275,-825,-8525
Bad Debt,Revenue,-552,-414,-690,-552,-414,-414,-552,-414,-690,-414,-414,-552,-6072
Other Income (RUBS/Fees),Revenue,3800,3850,3900,3825,3900,3875,3850,3900,3925,3875,3900,3950,46550
Effective Gross Income,Revenue,51000,52203,51237,51490,52253,52038,51790,52253,50987,52228,52528,51425,621432
Property Taxes,OpEx,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,98400
Insurance,OpEx,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,25200
Utilities,OpEx,3850,3625,3475,4125,4350,3925,3650,3475,3725,3950,3825,3550,45525
Repairs & Maintenance,OpEx,2275,1850,2950,3125,2750,2425,2150,1975,2625,2825,2350,2675,29975
Payroll & Onsite,OpEx,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,54000
Marketing,OpEx,825,1250,975,1100,950,825,750,650,825,975,850,725,10700
Management Fee,OpEx,1530,1566,1537,1545,1568,1561,1554,1568,1530,1567,1576,1543,18645
Admin & Other,OpEx,950,875,1025,1150,975,825,900,750,1050,975,825,900,11200
Total Operating Expenses,OpEx,24230,23966,24762,25845,25393,24361,23804,23218,24555,25092,24226,24193,293645
Net Operating Income,NOI,26770,28237,26475,25645,26860,27677,27986,29035,26432,27136,28302,27232,327787
Capex / Reserves,Below NOI,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,19200
Debt Service,Below NOI,16850,16850,16850,16850,16850,16850,16850,16850,16850,16850,16850,16850,202200
Cash Flow After Debt Service,Below NOI,8320,9787,8025,7195,8410,9227,9536,10585,7982,8686,9852,8782,106387
